IDs,LPPM
5947-867,trl2
5947-874,trl1
5947-876,NOBF
5947-873,trl1
5947-899,geoi005
5947-875,geoi001
5950-862,NOBF
5950-875,promesse100
5950-860,NOBF
5950-868,NOBF
5950-863,NOBF
5950-873,NOBF
5950-869,NOBF
5950-870,NOBF
5950-874,NOBF
5950-861,NOBF
5950-867,NOBF
5950-866,NOBF
5950-859,NOBF
5950-871,NOBF
5950-865,NOBF
5950-872,NOBF
5950-864,NOBF
5953-857,NOBF
5953-882,NOBF
5953-856,NOBF
5953-869,NOBF
5953-868,NOBF
5953-896,NOBF
5953-880,NOBF
5957-881,NOBF
5957-880,NOBF
5958-884,NOBF
5958-885,NOBF
5958-872,NOBF
5958-883,NOBF
5958-881,NOBF
5958-871,NOBF
5958-870,geoi005
5959-872,NOBF
5959-865,promesse200
5959-857,promesse100
5959-853,trl3
5959-856,promesse100
5959-854,promesse50
5959-869,NOBF
5959-873,trl3
5959-855,promesse50
5959-858,trl3
5959-864,geoi001
5959-859,geoi001
5959-867,trl3
5959-861,trl2
5959-871,NOBF
5959-868,trl3
5959-863,geoi001
5959-860,geoi001
5959-866,trl3
5960-889,NOBF
5960-892,NOBF
5960-893,NOBF
5960-883,NOBF
5960-890,NOBF
5960-898,NOBF
5960-891,NOBF
5960-896,NOBF
5960-895,NOBF
5960-871,NOBF
5960-881,NOBF
5960-897,NOBF
5960-870,NOBF
5961-882,NOBF
5961-872,NOBF
5961-873,NOBF
5961-874,NOBF
5963-882,trl1
5963-883,NOBF
5963-885,NOBF
5963-884,NOBF
5964-877,promesse100
5964-878,promesse200
5964-864,NOBF
5964-889,NOBF
5964-867,NOBF
5964-888,NOBF
5964-863,trl3
5964-866,NOBF
5964-865,NOBF
5964-868,NOBF
5966-882,NOBF
5966-883,NOBF
5966-885,NOBF
5966-880,NOBF
5966-879,NOBF
5966-884,NOBF
5967-876,NOBF
5967-879,promesse200
5967-878,NOBF
5967-877,NOBF
5967-884,NOBF
5967-883,geoi005
5967-880,NOBF
5967-885,geoi001
5969-884,geoi005
5969-891,trl3
5969-879,geoi005
5972-887,trl3
5972-886,promesse100
5972-864,promesse50
5972-889,promesse100
5972-888,geoi001
5972-865,promesse100
5972-866,promesse100
5972-875,NOBF
5972-854,promesse50
5972-898,geoi001
5972-855,promesse50
5972-856,promesse100
5972-873,trl3
5972-857,promesse100
5972-890,promesse50
5972-858,promesse50
5972-895,geoi001
5972-860,promesse100
5972-894,promesse50
5972-893,geoi001
5972-874,NOBF
5972-891,promesse50
5972-863,promesse100
5972-859,promesse100
5972-876,NOBF
5972-853,promesse50
5972-869,promesse50
5972-885,NOBF
5972-884,geoi001
5972-867,promesse100
5972-879,NOBF
5972-878,trl1
5972-880,NOBF
5972-877,NOBF
5972-868,promesse100
5974-869,promesse200
5974-868,NOBF
5974-881,promesse50
5974-870,trl1
5974-882,trl1
5974-885,geoi001
5974-886,geoi001
5976-879,NOBF
5976-881,geoi01
5976-873,NOBF
5976-880,NOBF
5976-877,NOBF
5976-885,NOBF
5976-878,NOBF
5977-869,geoi005
5977-868,trl2
5977-867,trl2
5977-871,trl2
5977-873,promesse50
5977-870,trl1
5977-864,trl1
5977-872,trl2
5979-894,NOBF
5979-882,NOBF
5979-884,NOBF
5979-892,NOBF
5986-881,NOBF
5986-872,NOBF
5986-874,NOBF
5986-879,NOBF
5986-873,NOBF
5986-877,NOBF
5986-875,NOBF
5986-882,geoi01
5986-878,NOBF
5986-867,NOBF
5986-876,NOBF
5986-880,NOBF
5988-896,trl2
5988-897,geoi001
5988-876,NOBF
5988-877,NOBF
5988-875,NOBF
5988-878,NOBF
5988-888,NOBF
5988-899,geoi01
5988-884,NOBF
5988-874,NOBF
5988-900,geoi01
5988-855,trl1
5988-857,trl1
5988-869,NOBF
5988-871,NOBF
5988-867,trl1
5988-859,geoi01
5988-854,trl1
5988-853,trl2
5988-864,geoi01
5988-870,NOBF
5988-856,trl1
5988-872,NOBF
5988-868,NOBF
5988-858,geoi001
5988-873,NOBF
5989-868,NOBF
5989-874,NOBF
5989-865,NOBF
5989-873,NOBF
5989-875,NOBF
5989-877,NOBF
5989-879,NOBF
5989-876,NOBF
5989-878,NOBF
5989-880,NOBF
5989-870,NOBF
5989-869,NOBF
5989-864,NOBF
5989-872,NOBF
5989-871,NOBF
5991-895,trl1
5991-899,geoi005
5991-896,promesse50
5991-866,NOBF
5991-868,trl3
5991-898,promesse50
5991-882,promesse50
5993-868,NOBF
5993-864,NOBF
5993-865,NOBF
5993-866,NOBF
5995-858,trl1
5995-887,trl1
5995-857,trl1
5995-859,trl1
5995-871,NOBF
5995-888,trl1
5995-876,NOBF
5995-898,trl3
5995-895,promesse100
5995-868,NOBF
5995-872,NOBF
5995-877,NOBF
5995-867,NOBF
5995-856,trl1
5995-890,NOBF
5995-891,NOBF
5995-866,NOBF
5995-855,trl1
5995-873,NOBF
5995-854,trl1
5995-853,trl1
5995-865,trl1
5995-889,trl1
5995-874,NOBF
5995-870,NOBF
5995-869,NOBF
5995-879,NOBF
6001-858,NOBF
6001-871,NOBF
6001-893,geoi005
6001-888,NOBF
6001-876,NOBF
6001-882,NOBF
6001-859,NOBF
6001-867,NOBF
6001-894,NOBF
6001-874,promesse50
6001-873,NOBF
6001-853,geoi01
6001-864,NOBF
6001-900,geoi01
6001-866,NOBF
6001-868,NOBF
6001-887,promesse50
6001-869,NOBF
6001-865,NOBF
6001-860,NOBF
6001-861,NOBF
6001-896,geoi01
6001-890,geoi01
6001-854,NOBF
6001-856,NOBF
6001-870,NOBF
6001-855,NOBF
6001-872,NOBF
6001-897,geoi005
6001-879,NOBF
6001-891,NOBF
6001-862,NOBF
6001-884,NOBF
6001-875,NOBF
6001-892,geoi01
6001-857,NOBF
6001-898,geoi01
6001-883,NOBF
6001-863,NOBF
6001-899,geoi01
6001-877,NOBF
6003-873,NOBF
6003-869,NOBF
6003-888,NOBF
6003-878,NOBF
6003-887,NOBF
6003-890,NOBF
6003-895,NOBF
6003-879,NOBF
6003-871,NOBF
6003-874,NOBF
6003-894,NOBF
6003-872,NOBF
6003-875,NOBF
6004-892,NOBF
6004-891,NOBF
6004-893,NOBF
6004-883,promesse200
6004-866,NOBF
6004-867,promesse100
6007-877,NOBF
6007-876,NOBF
6012-876,NOBF
6012-875,NOBF
6012-878,NOBF
6015-885,geoi01
6015-875,geoi001
6015-877,geoi001
6015-876,trl2
6016-872,NOBF
6016-874,trl1
6016-868,trl1
6027-879,NOBF
6030-875,promesse50
6030-883,NOBF
6030-874,NOBF
6030-884,NOBF
6030-871,NOBF
6030-873,NOBF
6030-882,NOBF
6030-885,NOBF
6030-870,NOBF
6030-889,NOBF
6033-883,NOBF
6033-879,NOBF
6033-882,NOBF
6033-878,NOBF
6033-872,NOBF
6033-881,NOBF
6033-880,NOBF
6033-871,promesse200
6034-879,NOBF
6034-866,trl3
6034-884,trl3
6034-883,promesse200
6034-880,NOBF
6034-885,promesse200
6034-881,NOBF
6034-882,NOBF
6035-882,NOBF
6035-879,NOBF
6035-880,NOBF
6035-885,NOBF
6035-877,NOBF
6035-881,NOBF
6035-883,NOBF
6035-876,NOBF
6035-878,NOBF
6035-884,NOBF
6038-876,NOBF
6038-880,NOBF
6038-884,trl3
6038-869,NOBF
6038-874,NOBF
6038-886,trl1
6038-878,NOBF
6038-875,NOBF
6038-879,NOBF
6038-883,geoi01
6038-871,trl1
6038-882,NOBF
6038-877,NOBF
6039-873,NOBF
6039-876,NOBF
6039-879,NOBF
6039-874,NOBF
6039-880,NOBF
6039-877,NOBF
6040-868,geoi005
6040-881,NOBF
6040-870,promesse100
6040-869,geoi01
6040-882,geoi005
6041-885,NOBF
6041-878,trl1
6041-886,trl1
6041-884,NOBF
6041-882,NOBF
6041-883,NOBF
6042-876,trl2
6042-884,NOBF
6042-885,NOBF
6042-873,trl3
6042-888,NOBF
6042-874,trl2
6042-880,NOBF
6042-883,NOBF
6042-886,NOBF
6042-879,NOBF
6042-870,trl3
6042-869,trl2
6042-875,trl2
6042-881,NOBF
6042-868,trl2
6042-877,NOBF
6042-887,NOBF
6042-878,NOBF
6042-872,trl2
6042-871,trl2
6042-882,NOBF
6045-885,geoi01
6045-872,NOBF
6045-869,NOBF
6045-881,NOBF
6045-877,NOBF
6045-882,NOBF
6045-874,NOBF
6045-880,NOBF
6045-879,NOBF
6045-875,NOBF
6045-873,NOBF
6045-883,NOBF
6045-871,NOBF
6045-878,NOBF
6045-876,NOBF
6054-871,trl2
6054-872,trl3
6058-859,NOBF
6058-897,trl3
6058-863,NOBF
6058-890,NOBF
6058-889,NOBF
6058-864,NOBF
6058-896,NOBF
6058-898,geoi01
6061-877,NOBF
6061-876,NOBF
6068-874,NOBF
6068-877,NOBF
6068-891,NOBF
6068-884,NOBF
6068-875,promesse50
6068-876,NOBF
6068-885,NOBF
6068-886,NOBF
6068-878,geoi01
6068-895,NOBF
6068-896,NOBF
6068-892,NOBF
6072-883,NOBF
6072-892,NOBF
6072-879,NOBF
6072-876,NOBF
6072-899,NOBF
6072-880,NOBF
6072-878,NOBF
6072-877,NOBF
6072-875,trl3
6072-891,NOBF
6073-867,trl1
6073-870,promesse200
6073-879,geoi01
6073-889,NOBF
6073-880,geoi005
6073-890,NOBF
6078-873,NOBF
6082-873,NOBF
6082-874,trl1
6082-870,NOBF
6082-869,geoi005
6085-878,trl3
6085-888,NOBF
6085-889,NOBF
6086-885,NOBF
6086-883,NOBF
6086-886,NOBF
6086-879,NOBF
6086-887,NOBF
6086-882,NOBF
6086-868,NOBF
6086-881,NOBF
6086-880,NOBF
6086-878,NOBF
6086-884,NOBF
6086-888,NOBF
6087-879,NOBF
6087-871,promesse200
6087-878,promesse200
6087-876,geoi005
6087-870,trl1
6087-877,trl3
6094-877,geoi01
6094-875,NOBF
6094-871,NOBF
6094-884,trl2
6094-879,promesse200
6094-876,NOBF
6094-878,NOBF
6094-872,NOBF
6094-880,trl3
6094-882,promesse50
6094-883,trl3
6094-873,promesse200
6094-874,NOBF
6096-870,NOBF
6096-876,NOBF
6096-865,NOBF
6096-888,NOBF
6096-866,NOBF
6096-882,NOBF
6096-889,NOBF
6096-873,NOBF
6097-882,geoi005
6097-870,NOBF
6097-881,geoi005
6097-874,NOBF
6097-871,NOBF
6097-875,NOBF
6097-877,NOBF
6097-872,NOBF
6097-869,NOBF
6097-873,NOBF
6097-879,promesse50
6097-878,NOBF
6106-872,geoi001
6106-899,NOBF
6106-874,promesse50
6106-900,promesse200
6106-875,promesse50
6106-865,trl3
6106-886,trl1
6106-873,promesse50
6106-869,trl3
6106-892,geoi001
6106-882,NOBF
6106-868,promesse50
6106-881,trl3
6106-891,NOBF
6106-870,promesse100
6106-883,NOBF
6106-888,NOBF
6106-871,geoi001
6106-867,promesse100
6106-884,NOBF
6106-877,promesse50
6109-881,NOBF
6109-889,NOBF
6109-890,NOBF
6109-887,NOBF
6109-880,NOBF
6109-883,NOBF
6109-870,NOBF
6109-882,NOBF
6109-871,geoi005
6109-897,NOBF
6109-888,NOBF
6167-897,NOBF
6167-900,NOBF
6167-896,NOBF
6167-889,NOBF
6167-895,NOBF
6167-894,NOBF
6167-893,NOBF
6167-888,NOBF
6167-886,NOBF
6167-899,NOBF
6167-898,NOBF
6167-892,NOBF
6167-885,NOBF
6167-887,NOBF
6167-877,NOBF
6167-883,NOBF
6167-871,NOBF
6167-878,NOBF
6167-880,NOBF
6167-884,NOBF
6167-879,NOBF
6167-882,NOBF
6167-881,NOBF
6168-877,NOBF
6168-876,NOBF
6169-874,NOBF
6169-871,NOBF
6169-872,NOBF
6169-873,NOBF
6170-885,NOBF
6170-889,promesse200
6170-883,NOBF
6170-877,trl2
6170-882,NOBF
6170-888,geoi001
6170-884,NOBF
6170-881,NOBF
6170-878,NOBF
6170-879,NOBF
6170-880,NOBF
6172-878,NOBF
6172-871,NOBF
6172-870,NOBF
6172-882,NOBF
6172-880,NOBF
6172-881,NOBF
6172-875,NOBF
6172-876,NOBF
6172-886,NOBF
6172-874,NOBF
6172-873,NOBF
6172-872,NOBF
6172-885,NOBF
6172-879,NOBF
6172-877,NOBF
6174-864,NOBF
6174-862,NOBF
6174-861,NOBF
6174-863,promesse200
6174-866,NOBF
6174-865,NOBF
6175-882,NOBF
6175-874,NOBF
6175-875,NOBF
6175-870,NOBF
6175-865,geoi005
6175-866,NOBF
6175-880,NOBF
6175-876,NOBF
6175-877,NOBF
6175-869,NOBF
6175-867,NOBF
6175-900,trl2
6175-873,NOBF
6175-887,NOBF
6175-871,NOBF
6175-868,NOBF
6175-883,NOBF
6175-878,NOBF
6175-872,NOBF
6176-893,NOBF
6176-875,geoi005
6176-895,NOBF
6176-894,NOBF
6176-892,NOBF
6176-899,NOBF
6176-878,NOBF
6176-898,NOBF
6176-879,NOBF
6176-888,NOBF
6176-874,trl3
6176-889,NOBF
6176-885,NOBF
6176-886,NOBF
6176-890,NOBF
6177-875,NOBF
6177-883,trl1
6177-884,NOBF
6177-876,promesse200
6177-889,promesse50
6177-873,NOBF
6177-878,NOBF
6177-879,NOBF
6177-877,NOBF
6178-894,NOBF
6178-886,NOBF
6178-898,NOBF
6178-871,NOBF
6178-878,NOBF
6178-887,NOBF
6178-877,NOBF
6178-874,NOBF
6178-883,NOBF
6178-888,NOBF
6178-895,NOBF
6178-896,NOBF
6178-893,NOBF
6178-899,promesse200
6178-879,NOBF
6178-873,NOBF
6178-880,NOBF
6178-872,NOBF
6178-870,NOBF
6178-885,NOBF
6178-881,NOBF
6178-876,NOBF
6178-889,NOBF
6178-869,NOBF
6178-897,NOBF
6178-875,NOBF
6178-882,NOBF
6178-884,NOBF
6179-897,promesse50
6179-896,geoi001
6179-871,promesse200
6179-899,trl2
6179-862,geoi001
6179-878,geoi001
6179-864,trl2
6179-881,trl3
6179-873,trl2
6179-883,promesse100
6179-860,geoi001
6179-879,geoi001
6179-882,trl3
6179-894,promesse200
6179-895,trl3
6179-887,trl1
6181-871,NOBF
6181-873,NOBF
6181-870,NOBF
6181-874,promesse200
6181-872,NOBF
6187-874,promesse200
6187-875,NOBF
6187-873,NOBF
6187-882,NOBF
6187-876,NOBF
6187-885,NOBF
6187-886,NOBF
6187-884,promesse50
6187-868,NOBF
6187-869,NOBF
6187-881,NOBF
6187-856,NOBF
6187-870,NOBF
6187-879,NOBF
6187-863,NOBF
6187-892,promesse50
6187-859,NOBF
6187-893,NOBF
6187-861,NOBF
6187-878,NOBF
6187-877,NOBF
6187-860,promesse50
6187-862,NOBF
6194-867,NOBF
6194-866,NOBF
6194-884,NOBF
6194-886,NOBF
6194-885,NOBF
6194-868,NOBF
6199-887,NOBF
6199-875,geoi01
6199-873,geoi01
6199-879,NOBF
6199-874,NOBF
6199-872,geoi001
6199-878,NOBF
5462-1112,NOBF
5462-1114,NOBF
5462-1124,NOBF
5462-1113,NOBF
5479-1121,NOBF
5479-1110,NOBF
5480-1112,NOBF
5480-1121,NOBF
5542-1134,trl2
5542-1117,NOBF
5542-1114,NOBF
5542-1113,NOBF
5542-1105,NOBF
5542-1138,geoi005
5542-1129,promesse200
5542-1128,promesse50
5542-1130,trl2
5542-1116,NOBF
5542-1136,geoi001
5542-1106,NOBF
5542-1109,NOBF
5542-1115,NOBF
5925-1106,NOBF
5925-1104,promesse50
5925-1105,geoi01
5925-1117,NOBF
5925-1120,NOBF
5925-1103,geoi005
5925-1129,NOBF
5925-1131,geoi001
5925-1132,geoi001
5925-1134,geoi01
5925-1133,geoi01
5925-1135,geoi005
5925-1136,geoi005
5925-1137,geoi001
5925-1138,geoi005
5925-1139,geoi001
5925-1116,NOBF
5925-1102,trl1
5925-1140,geoi005
5925-1093,geoi005
5925-1096,geoi01
5925-1098,trl2
5925-1097,trl2
5925-1094,geoi005
5925-1100,geoi001
5925-1095,trl2
5925-1099,geoi001
5927-1121,trl2
5927-1119,NOBF
5927-1118,NOBF
5927-1116,trl3
5927-1128,NOBF
5927-1127,NOBF
5928-1129,NOBF
5928-1119,NOBF
5928-1113,NOBF
5928-1118,NOBF
5928-1127,promesse50
5928-1138,NOBF
5928-1120,NOBF
5928-1117,NOBF
5928-1126,geoi005
5928-1121,NOBF
5928-1130,NOBF
5928-1124,trl1
5928-1128,trl2
5928-1125,geoi01
5928-1123,geoi005
5928-1116,NOBF
5928-1107,NOBF
5928-1115,promesse50
5928-1114,NOBF
5928-1137,NOBF
5928-1109,NOBF
5928-1133,NOBF
5935-1123,NOBF
5935-1126,NOBF
5935-1121,NOBF
5935-1120,NOBF
5935-1124,NOBF
5935-1122,NOBF
5935-1116,NOBF
5935-1125,NOBF
5935-1131,NOBF
5935-1117,NOBF
5935-1130,NOBF
5936-1124,NOBF
5936-1109,NOBF
5936-1119,NOBF
5936-1106,NOBF
5936-1125,NOBF
5936-1107,NOBF
5936-1128,NOBF
5936-1126,NOBF
5936-1120,NOBF
5936-1118,NOBF
5936-1127,NOBF
5936-1113,NOBF
5938-1135,trl1
5938-1114,promesse100
5938-1111,trl3
5938-1113,geoi001
5938-1106,geoi001
5938-1134,promesse200
5938-1115,NOBF
5938-1109,trl3
5938-1117,trl3
5938-1110,geoi001
5938-1108,geoi001
5938-1112,trl3
5938-1124,geoi01
5938-1103,geoi001
5938-1102,promesse50
5939-1119,geoi001
5939-1126,NOBF
5939-1127,geoi001
5939-1105,trl2
5939-1104,trl3
5939-1110,geoi005
5939-1106,geoi001
5939-1114,NOBF
5939-1107,promesse50
5940-1099,NOBF
5940-1104,NOBF
5940-1128,trl1
5940-1129,geoi005
5940-1103,NOBF
5940-1134,NOBF
5940-1100,NOBF
5940-1096,NOBF
5941-1124,NOBF
5941-1103,NOBF
5941-1102,NOBF
5941-1123,NOBF
5941-1115,NOBF
5941-1116,NOBF
5942-1118,NOBF
5942-1109,NOBF
5942-1108,NOBF
5942-1127,promesse100
5942-1113,NOBF
5942-1116,NOBF
5942-1115,NOBF
5942-1106,NOBF
5942-1114,NOBF
5942-1105,NOBF
5944-1112,NOBF
5944-1113,geoi01
5944-1127,NOBF
5944-1107,NOBF
5944-1116,promesse50
5944-1128,NOBF
5947-1116,NOBF
5947-1115,NOBF
5947-1114,NOBF
5947-1117,NOBF
5947-1129,NOBF
5947-1113,NOBF
5947-1127,NOBF
5947-1109,NOBF
5947-1128,NOBF
5947-1131,NOBF
5947-1108,NOBF
5947-1134,NOBF
5947-1106,geoi01
5947-1126,NOBF
5947-1132,NOBF
5947-1125,NOBF
5947-1133,NOBF
5950-1124,NOBF
5950-1128,NOBF
5950-1125,NOBF
5953-1106,NOBF
5953-1105,NOBF
5953-1108,NOBF
5953-1109,NOBF
5953-1125,NOBF
5956-1129,NOBF
5956-1125,geoi005
5956-1127,NOBF
5956-1128,NOBF
5956-1126,NOBF
5957-1107,promesse200
5957-1106,promesse200
5958-1134,geoi005
5959-1138,promesse100
5959-1137,promesse100
5959-1105,NOBF
5959-1104,trl1
5959-1134,promesse200
5959-1136,promesse50
5959-1133,promesse100
5959-1109,trl1
5959-1100,trl3
5959-1131,trl3
5959-1140,geoi001
5959-1129,promesse100
5959-1124,promesse50
5959-1101,trl3
5959-1139,promesse100
5959-1117,NOBF
5959-1121,trl2
5959-1130,promesse100
5959-1122,geoi001
5959-1103,promesse100
5959-1132,promesse100
5959-1102,promesse200
5959-1135,promesse100
5960-1125,geoi005
5960-1124,geoi005
5961-1122,NOBF
5961-1124,NOBF
5961-1121,NOBF
5961-1123,NOBF
5963-1103,NOBF
5964-1113,NOBF
5964-1119,NOBF
5964-1104,NOBF
5964-1105,NOBF
5965-1124,NOBF
5965-1121,NOBF
5965-1114,NOBF
5965-1113,NOBF
5965-1105,promesse200
5965-1122,NOBF
5965-1123,NOBF
5966-1124,NOBF
5966-1111,NOBF
5966-1112,NOBF
5966-1115,NOBF
5966-1103,NOBF
5966-1116,promesse200
5967-1103,geoi001
5967-1124,NOBF
5967-1111,NOBF
5967-1109,trl2
5969-1124,geoi001
5969-1123,NOBF
5969-1119,promesse100
5969-1118,geoi005
5972-1124,NOBF
5972-1125,NOBF
5972-1127,NOBF
5973-1137,NOBF
5973-1113,NOBF
5973-1127,NOBF
5973-1099,NOBF
5973-1104,NOBF
5973-1126,NOBF
5973-1138,NOBF
5973-1101,NOBF
5973-1114,NOBF
5973-1125,NOBF
5973-1115,NOBF
5973-1124,NOBF
5973-1095,NOBF
5973-1140,NOBF
5973-1128,NOBF
5973-1093,NOBF
5973-1098,NOBF
5973-1139,NOBF
5973-1129,NOBF
5973-1097,NOBF
5973-1096,NOBF
5973-1102,NOBF
5974-1105,NOBF
5974-1124,promesse200
5974-1106,NOBF
5974-1123,NOBF
5974-1122,NOBF
5974-1121,NOBF
5974-1112,NOBF
5976-1113,NOBF
5976-1101,NOBF
5977-1121,NOBF
5977-1105,trl2
5977-1120,NOBF
5977-1125,geoi005
5977-1122,NOBF
5977-1106,promesse100
5977-1134,trl3
5978-1108,trl2
5978-1112,promesse50
5978-1111,trl3
5978-1125,NOBF
5978-1109,geoi001
5978-1126,NOBF
5978-1130,NOBF
5979-1118,NOBF
5979-1125,NOBF
5979-1136,NOBF
5979-1116,NOBF
5979-1108,NOBF
5982-1124,NOBF
5982-1123,NOBF
5982-1122,NOBF
5986-1137,trl2
5986-1116,trl1
5989-1125,NOBF
5989-1102,promesse100
5989-1105,NOBF
5989-1106,NOBF
5989-1128,NOBF
5990-1121,NOBF
5990-1125,NOBF
5990-1126,NOBF
5990-1124,NOBF
5990-1120,NOBF
5990-1122,NOBF
5991-1115,NOBF
5991-1124,NOBF
5991-1109,promesse200
5993-1098,trl3
5993-1104,NOBF
5993-1117,NOBF
5993-1102,trl2
5993-1113,NOBF
5993-1100,geoi001
5993-1096,trl3
5993-1105,promesse50
5993-1101,trl2
5993-1107,geoi005
5993-1109,NOBF
5993-1115,NOBF
5995-1105,NOBF
5995-1114,NOBF
5995-1104,geoi005
6001-1115,NOBF
6001-1114,NOBF
6001-1133,NOBF
6001-1137,NOBF
6001-1127,NOBF
6001-1130,NOBF
6001-1138,NOBF
6001-1113,NOBF
6003-1117,NOBF
6003-1131,NOBF
6003-1124,NOBF
6003-1118,geoi005
6003-1103,NOBF
6003-1125,NOBF
6003-1126,NOBF
6003-1132,NOBF
6003-1128,NOBF
6003-1112,NOBF
6003-1115,NOBF
6003-1123,promesse200
6003-1127,NOBF
6003-1133,NOBF
6003-1121,NOBF
6003-1116,geoi005
6004-1125,geoi005
6004-1118,geoi001
6004-1116,NOBF
6004-1113,promesse50
6004-1104,NOBF
6005-1104,NOBF
6005-1131,NOBF
6005-1106,NOBF
6005-1132,NOBF
6005-1105,NOBF
6014-1106,trl1
6014-1121,trl3
6014-1096,trl3
6014-1113,trl1
6015-1123,trl2
6015-1131,NOBF
6015-1113,promesse100
6015-1103,trl3
6015-1128,promesse200
6015-1104,promesse50
6023-1101,NOBF
6030-1114,NOBF
6030-1121,NOBF
6030-1125,NOBF
6030-1122,geoi001
6030-1106,NOBF
6030-1113,NOBF
6030-1107,NOBF
6030-1123,NOBF
6030-1115,geoi005
6031-1123,NOBF
6031-1124,NOBF
6031-1125,NOBF
6031-1122,NOBF
6033-1108,trl1
6033-1116,NOBF
6033-1117,NOBF
6033-1126,NOBF
6033-1127,trl2
6033-1128,trl1
6033-1109,NOBF
6034-1114,promesse200
6034-1116,promesse50
6034-1119,promesse100
6034-1106,NOBF
6034-1113,promesse200
6034-1115,promesse50
6034-1107,trl3
6035-1100,NOBF
6035-1124,geoi01
6035-1118,promesse100
6035-1123,trl1
6035-1099,geoi005
6035-1119,trl1
6035-1101,NOBF
6035-1102,promesse200
6035-1121,trl2
6038-1121,trl3
6038-1125,NOBF
6038-1126,promesse200
6039-1129,NOBF
6039-1113,NOBF
6039-1106,geoi005
6039-1108,NOBF
6039-1130,trl1
6039-1115,NOBF
6039-1107,NOBF
6039-1127,NOBF
6039-1128,NOBF
6040-1122,NOBF
6042-1126,NOBF
6042-1110,NOBF
6042-1105,trl1
6042-1106,trl2
6042-1124,NOBF
6042-1109,NOBF
6042-1123,NOBF
6042-1125,geoi001
6042-1131,trl1
6042-1111,geoi005
6042-1107,NOBF
6042-1130,NOBF
6043-1135,trl1
6043-1134,promesse200
6043-1105,trl1
6045-1105,geoi005
6045-1104,trl1
6045-1125,NOBF
6045-1124,NOBF
6051-1123,NOBF
6051-1124,NOBF
6051-1126,trl1
6051-1125,NOBF
6058-1100,geoi005
6058-1105,geoi01
6058-1103,NOBF
6058-1110,geoi005
6058-1102,geoi005
6061-1125,NOBF
6061-1109,NOBF
6061-1129,NOBF
6061-1127,promesse50
6061-1131,NOBF
6061-1130,NOBF
6061-1128,NOBF
6061-1132,NOBF
6061-1126,NOBF
6061-1114,NOBF
6061-1121,NOBF
6063-1129,NOBF
6063-1130,NOBF
6063-1107,NOBF
6068-1112,NOBF
6068-1124,trl1
6068-1107,NOBF
6068-1125,trl1
6068-1108,NOBF
6068-1126,NOBF
6068-1109,NOBF
6068-1106,promesse200
6068-1127,NOBF
6070-1097,trl1
6070-1128,trl1
6070-1104,geoi001
6070-1125,NOBF
6070-1111,geoi005
6070-1105,geoi01
6070-1110,NOBF
6070-1127,NOBF
6070-1109,trl3
6070-1108,geoi01
6070-1126,NOBF
